species,longitude,latitude
bradypus_torquatus,-39.4,-15.833
bradypus_torquatus,-39.1166,-14.8
bradypus_torquatus,-39.12528,-14.65778
bradypus_torquatus,-39.28333,-14.83333
bradypus_torquatus,-38.05,-12.5
bradypus_torquatus,-39.04,-13.65
bradypus_torquatus,-39.25,-13
bradypus_torquatus,-39.10497,-15.17714
bradypus_torquatus,-39.0518,-15.16311
bradypus_torquatus,-39.41667,-12.95
bradypus_torquatus,-39.75,-13.53333
bradypus_torquatus,-41.51221,-20.71916
bradypus_torquatus,-40.7,-20.56667
bradypus_torquatus,-40.2,-19.79
bradypus_torquatus,-40.13333,-19.93333
bradypus_torquatus,-40.11667,-19.91667
bradypus_torquatus,-40.11667,-19.8
bradypus_torquatus,-40.15,-19.61667
bradypus_torquatus,-40.16108,-19.87743
bradypus_torquatus,-41.00974,-20.41615
bradypus_torquatus,-40.41806,-19.83473
bradypus_torquatus,-40.87,-19.87
bradypus_torquatus,-40.11878,-19.46809
bradypus_torquatus,-39.85978,-19.62792
bradypus_torquatus,-40.68333,-20.03333
bradypus_torquatus,-40.74414,-20.06209
bradypus_torquatus,-40.70224,-20.04194
bradypus_torquatus,-40.69428,-19.90531
bradypus_torquatus,-40.53047,-19.97323
bradypus_torquatus,-40.54556,-19.88866
bradypus_torquatus,-40.62348,-19.92452
bradypus_torquatus,-40.59414,-19.93773
bradypus_torquatus,-41.00227,-20.46464
bradypus_torquatus,-41.83154,-21.8822
bradypus_torquatus,-42.03805,-22.42465
bradypus_torquatus,-42.33333,-22.31667
bradypus_torquatus,-43.15712,-22.39786
bradypus_torquatus,-41.03558,-21.73639
bradypus_torquatus,-42.12375,-22.78576
bradypus_torquatus,-42.2766,-22.54937
bradypus_torquatus,-37.55,-11.3
bradypus_torquatus,-37.23333,-11.2
bradypus_torquatus,-39.26666667,-14.8
